adventure_keyword_count,adventure_keyword_binary,relaxation_keyword_count,relaxation_keyword_binary,culture_keyword_count,culture_keyword_binary,budget_keyword_count,budget_keyword_binary,luxury_keyword_count,luxury_keyword_binary,family_keyword_count,family_keyword_binary,adventure_keyword_ratio,relaxation_keyword_ratio,culture_keyword_ratio,budget_keyword_ratio,luxury_keyword_ratio,family_keyword_ratio,price_tier,region_southeast_asia,region_east_asia,region_south_asia,region_central_asia,region_western_europe,region_eastern_europe,region_southern_europe,region_northern_europe,region_north_america,region_central_america,region_south_america,region_caribbean,region_north_africa,region_west_africa,region_east_africa,region_southern_africa,region_middle_east,region_oceania,destination_name,label
14,1,1,0,2,0,0,0,0,0,2,1,0.7368421052631579,0.05263157894736842,0.10526315789473684,0.0,0.0,0.10526315789473684,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mauritius,Luxury
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Koh Lanta,Relaxation
4,1,1,0,0,0,0,0,0,0,0,0,0.8,0.2,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Madeira,Relaxation
2,0,0,0,1,0,0,0,0,0,0,0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Palawan,Relaxation
4,1,1,0,4,1,0,0,0,0,0,0,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.0,0.0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chiang Rai,Relaxation
0,0,0,0,1,0,2,1,1,1,0,0,0.0,0.0,0.25,0.5,0.25,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gili Islands,Relaxation
1,0,0,0,5,1,0,0,1,1,0,0,0.14285714285714285,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Prague,Culture
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Budapest,Culture
0,0,0,0,1,0,0,0,1,1,1,1,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jaipur,Culture
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Cusco,Culture
3,1,0,0,1,0,1,1,0,0,0,0,0.6,0.0,0.2,0.2,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Zanzibar,Relaxation
3,1,3,1,2,0,0,0,1,1,0,0,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.0,0.1111111111111111,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Nadi,Relaxation
